Date,Time,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Station
01/01/2022,01:00:00,32.26382,V ugm-3,16.69791,V ugm-3,28.56509,V ugm-3,54.1682,V ugm-3,19.85,V ugm-3 (FIDAS),15.778,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,02:00:00,38.11787,V ugm-3,9.55518,V ugm-3,18.00917,V ugm-3,32.66024,V ugm-3,13.225,V ugm-3 (FIDAS),9.717,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,03:00:00,45.20261,V ugm-3,5.46348,V ugm-3,10.95822,V ugm-3,19.33544,V ugm-3,14.95,V ugm-3 (FIDAS),10.307,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,04:00:00,40.51271,V ugm-3,5.88921,V ugm-3,14.32461,V ugm-3,23.35461,V ugm-3,16.325,V ugm-3 (FIDAS),11.415,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,05:00:00,41.71013,V ugm-3,5.07323,V ugm-3,11.9911,V ugm-3,19.76995,V ugm-3,15.275,V ugm-3 (FIDAS),10.236,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,06:00:00,43.95529,V ugm-3,3.65415,V ugm-3,8.30119,V ugm-3,13.90414,V ugm-3,13.95,V ugm-3 (FIDAS),9.859,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,07:00:00,42.15916,V ugm-3,4.22178,V ugm-3,10.85255,V ugm-3,17.32586,V ugm-3,14.525,V ugm-3 (FIDAS),9.623,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,08:00:00,36.47142,V ugm-3,5.53444,V ugm-3,15.03153,V ugm-3,23.51754,V ugm-3,14.075,V ugm-3 (FIDAS),8.797,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,09:00:00,39.01594,V ugm-3,5.60539,V ugm-3,13.18472,V ugm-3,21.77953,V ugm-3,13.375,V ugm-3 (FIDAS),8.255,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,10:00:00,46.40003,V ugm-3,3.2639,V ugm-3,7.32449,V ugm-3,12.32906,V ugm-3,15.1,V ugm-3 (FIDAS),8.774,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,11:00:00,46.10067,V ugm-3,3.90249,V ugm-3,7.59453,V ugm-3,13.57826,V ugm-3,16.475,V ugm-3 (FIDAS),9.693,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
01/01/2022,12:00:00,44.95314,V ugm-3,4.57655,V ugm-3,9.33094,V ugm-3,16.34822,V ugm-3,17.8,V ugm-3 (FIDAS),10.802,V ugm-3 (Ref.eq),Birmingham A4540 Roadside
